                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3e-05,                0.92596,                0.98575,                 1.1626,              0.0033329,              0.0033329,              0.0033329
                      1,                  3e-05,                0.92243,                0.98496,                 1.1637,              0.0066002,              0.0066002,              0.0066002
                      2,                0.00766,                0.80407,                0.97561,                 1.3519,              0.0098016,              0.0098016,              0.0098016
                      3,                0.01678,                0.90222,                0.98172,                 1.1789,               0.009703,               0.009703,               0.009703
                      4,                0.00467,                0.91071,                0.98446,                 1.1732,               0.009703,               0.009703,               0.009703
                      5,                0.00258,                0.91697,                0.98467,                 1.1689,               0.009604,               0.009604,               0.009604
                      6,                0.00247,                0.91761,                0.98482,                  1.168,               0.009505,               0.009505,               0.009505
                      7,                0.00275,                0.91725,                 0.9846,                 1.1678,               0.009406,               0.009406,               0.009406
                      8,                0.00304,                0.91963,                0.98496,                  1.167,               0.009307,               0.009307,               0.009307
                      9,                 0.0025,                0.92229,                0.98554,                 1.1656,               0.009208,               0.009208,               0.009208
                     10,                0.00243,                0.92172,                0.98583,                 1.1655,               0.009109,               0.009109,               0.009109
                     11,                0.00205,                0.92164,                0.98611,                 1.1659,                0.00901,                0.00901,                0.00901
                     12,                0.00372,                0.91812,                0.98583,                 1.1675,               0.008911,               0.008911,               0.008911
                     13,                0.00094,                0.91639,                0.98568,                 1.1681,               0.008812,               0.008812,               0.008812
                     14,                0.00345,                0.91747,                0.98547,                 1.1682,               0.008713,               0.008713,               0.008713
                     15,                0.00149,                0.91812,                0.98532,                 1.1678,               0.008614,               0.008614,               0.008614
                     16,                0.00245,                0.91761,                0.98518,                 1.1676,               0.008515,               0.008515,               0.008515
                     17,                 0.0025,                0.91977,                0.98482,                 1.1667,               0.008416,               0.008416,               0.008416
                     18,                0.00161,                0.91977,                0.98475,                 1.1665,               0.008317,               0.008317,               0.008317
                     19,                0.00168,                0.92006,                0.98453,                 1.1666,               0.008218,               0.008218,               0.008218
                     20,                0.00167,                 0.9202,                0.98489,                 1.1665,               0.008119,               0.008119,               0.008119
                     21,                0.00324,                0.92071,                0.98475,                 1.1663,                0.00802,                0.00802,                0.00802
                     22,                0.00192,                0.92172,                0.98503,                 1.1661,               0.007921,               0.007921,               0.007921
                     23,                 0.0024,                0.92236,                 0.9846,                 1.1653,               0.007822,               0.007822,               0.007822
                     24,                0.00119,                  0.922,                0.98503,                 1.1652,               0.007723,               0.007723,               0.007723
                     25,                0.00099,                0.91999,                0.98525,                 1.1659,               0.007624,               0.007624,               0.007624
                     26,                0.00234,                0.91819,                0.98511,                 1.1667,               0.007525,               0.007525,               0.007525
                     27,                0.00102,                0.91625,                0.98511,                 1.1679,               0.007426,               0.007426,               0.007426
                     28,                0.00188,                0.91747,                0.98547,                 1.1675,               0.007327,               0.007327,               0.007327
                     29,                0.00222,                 0.9202,                0.98575,                 1.1663,               0.007228,               0.007228,               0.007228
                     30,                0.00066,                0.92056,                0.98539,                 1.1661,               0.007129,               0.007129,               0.007129
                     31,                0.00294,                0.92028,                0.98511,                 1.1657,                0.00703,                0.00703,                0.00703
                     32,                 0.0006,                0.92064,                0.98496,                 1.1658,               0.006931,               0.006931,               0.006931
                     33,                0.00116,                 0.9192,                0.98446,                 1.1665,               0.006832,               0.006832,               0.006832
                     34,                0.00253,                0.91891,                0.98467,                 1.1665,               0.006733,               0.006733,               0.006733
                     35,                0.00122,                0.92085,                0.98453,                 1.1658,               0.006634,               0.006634,               0.006634
                     36,                0.00153,                0.92243,                0.98424,                 1.1648,               0.006535,               0.006535,               0.006535
                     37,                0.00076,                0.92315,                 0.9846,                 1.1648,               0.006436,               0.006436,               0.006436
                     38,                0.00136,                0.92258,                0.98503,                 1.1647,               0.006337,               0.006337,               0.006337
                     39,                0.00142,                0.92467,                0.98561,                 1.1637,               0.006238,               0.006238,               0.006238
                     40,                0.00196,                0.92488,                0.98511,                 1.1637,               0.006139,               0.006139,               0.006139
                     41,                0.00168,                 0.9251,                0.98532,                 1.1632,                0.00604,                0.00604,                0.00604
                     42,                0.00075,                0.92337,                0.98503,                 1.1638,               0.005941,               0.005941,               0.005941
                     43,                0.00186,                0.92215,                0.98532,                 1.1643,               0.005842,               0.005842,               0.005842
                     44,                0.00111,                0.92251,                0.98575,                 1.1645,               0.005743,               0.005743,               0.005743
                     45,                0.00156,                0.92323,                0.98568,                 1.1642,               0.005644,               0.005644,               0.005644
                     46,                0.00055,                0.92531,                0.98626,                 1.1634,               0.005545,               0.005545,               0.005545
                     47,                0.00016,                0.92574,                0.98654,                 1.1633,               0.005446,               0.005446,               0.005446
                     48,                  4e-05,                 0.9261,                0.98662,                 1.1634,               0.005347,               0.005347,               0.005347
                     49,                  3e-05,                0.92618,                0.98654,                 1.1638,               0.005248,               0.005248,               0.005248
                     50,                  3e-05,                0.92589,                 0.9864,                 1.1644,               0.005149,               0.005149,               0.005149
                     51,                  3e-05,                0.92596,                 0.9864,                 1.1654,                0.00505,                0.00505,                0.00505
                     52,                  3e-05,                0.92589,                0.98647,                 1.1666,               0.004951,               0.004951,               0.004951
                     53,                  4e-05,                0.92582,                 0.9864,                 1.1687,               0.004852,               0.004852,               0.004852
                     54,                  4e-05,                0.92553,                0.98683,                  1.172,               0.004753,               0.004753,               0.004753
                     55,                  4e-05,                0.92387,                0.98654,                 1.1769,               0.004654,               0.004654,               0.004654
                     56,                  4e-05,                0.92071,                0.98619,                 1.1845,               0.004555,               0.004555,               0.004555
                     57,                  4e-05,                0.91711,                0.98539,                 1.1962,               0.004456,               0.004456,               0.004456
                     58,                  4e-05,                0.90948,                0.98482,                 1.2134,               0.004357,               0.004357,               0.004357
                     59,                  4e-05,                0.89711,                0.98374,                  1.238,               0.004258,               0.004258,               0.004258
                     60,                  3e-05,                 0.8825,                0.98165,                 1.2712,               0.004159,               0.004159,               0.004159
                     61,                  3e-05,                0.86315,                0.97813,                 1.3098,                0.00406,                0.00406,                0.00406
                     62,                0.00812,                0.82616,                0.96841,                 1.3654,               0.003961,               0.003961,               0.003961
                     63,                0.00571,                0.39826,                0.66225,                 1.5588,               0.003862,               0.003862,               0.003862
                     64,                0.00116,                0.45568,                0.73241,                 1.5482,               0.003763,               0.003763,               0.003763
                     65,                0.00111,                0.71766,                0.92819,                 1.4531,               0.003664,               0.003664,               0.003664
                     66,                0.00063,                 0.8412,                0.97568,                 1.3195,               0.003565,               0.003565,               0.003565
                     67,                0.00064,                0.88351,                 0.9841,                 1.2329,               0.003466,               0.003466,               0.003466
                     68,                0.00024,                0.89797,                 0.9859,                 1.1987,               0.003367,               0.003367,               0.003367
                     69,                0.00029,                0.90445,                0.98683,                 1.1848,               0.003268,               0.003268,               0.003268
                     70,                  6e-05,                0.90682,                0.98734,                 1.1789,               0.003169,               0.003169,               0.003169
                     71,                 0.0001,                0.90797,                0.98719,                  1.176,                0.00307,                0.00307,                0.00307
                     72,                  4e-05,                 0.9092,                0.98698,                 1.1745,               0.002971,               0.002971,               0.002971
                     73,                  3e-05,                0.91092,                 0.9869,                 1.1733,               0.002872,               0.002872,               0.002872
                     74,                0.00019,                0.91128,                 0.9869,                 1.1726,               0.002773,               0.002773,               0.002773
                     75,                  7e-05,                0.91099,                 0.9869,                 1.1725,               0.002674,               0.002674,               0.002674
                     76,                  3e-05,                0.91035,                0.98683,                 1.1727,               0.002575,               0.002575,               0.002575
                     77,                  4e-05,                0.90912,                0.98683,                 1.1728,               0.002476,               0.002476,               0.002476
                     78,                  3e-05,                0.90992,                 0.9869,                 1.1728,               0.002377,               0.002377,               0.002377
                     79,                  3e-05,                0.91056,                0.98683,                 1.1729,               0.002278,               0.002278,               0.002278
                     80,                  3e-05,                0.91092,                0.98669,                 1.1729,               0.002179,               0.002179,               0.002179
                     81,                  3e-05,                0.91078,                0.98698,                 1.1729,                0.00208,                0.00208,                0.00208
                     82,                  3e-05,                0.91078,                0.98698,                  1.173,               0.001981,               0.001981,               0.001981
                     83,                  3e-05,                0.91027,                0.98712,                 1.1731,               0.001882,               0.001882,               0.001882
                     84,                  3e-05,                0.91013,                0.98719,                  1.173,               0.001783,               0.001783,               0.001783
                     85,                  3e-05,                0.91085,                0.98726,                 1.1729,               0.001684,               0.001684,               0.001684
                     86,                  3e-05,                0.91157,                0.98726,                 1.1726,               0.001585,               0.001585,               0.001585
                     87,                  3e-05,                 0.9115,                0.98741,                 1.1725,               0.001486,               0.001486,               0.001486
                     88,                  3e-05,                 0.9115,                0.98741,                 1.1723,               0.001387,               0.001387,               0.001387
                     89,                  3e-05,                0.91186,                0.98748,                 1.1719,               0.001288,               0.001288,               0.001288
                     90,                  3e-05,                0.91229,                0.98755,                 1.1716,               0.001189,               0.001189,               0.001189
